scientific_name,areas,pop_growth_rate_measure,value,r_value,mean_r,reference,observations
Bathyraja trachura,,rmax,0.386204421,0.386204421,0.386204421,Barrowclift et al (2023),
Dasyatis lata,,rmax,0.123772597,0.123772597,0.123772597,Barrowclift et al (2023),
Beringraja binoculata,,rmax,0.328075682,0.328075682,0.571268341,Barrowclift et al (2023),
Dasyatis chrysonota,,rmax,0.236833405,0.236833405,0.22935032649999998,Barrowclift et al (2023),
Dasyatis pastinaca,,rmax,0.245511225,0.245511225,0.389275003,Barrowclift et al (2023),
Dipturus batis,,rmax,0.345068186,0.345068186,0.205738734,Barrowclift et al (2023),
Zearaja chilensis,,rmax,0.26709013,0.26709013,0.26709013,Barrowclift et al (2023),
Dipturus intermedia,,rmax,0.240230226,0.240230226,0.240230226,Barrowclift et al (2023),
Dipturus laevis,,rmax,0.376412133,0.376412133,0.413206067,Barrowclift et al (2023),
Dipturus trachydermus,,rmax,0.224219741,0.224219741,0.22493833,Barrowclift et al (2023),
Glaucostegus cemiculus,,rmax,0.47112834,0.47112834,0.42431417,Barrowclift et al (2023),
Glaucostegus typus,,rmax,0.351886298,0.351886298,0.310943149,Barrowclift et al (2023),
Gymnura natalensis,,rmax,0.29787306,0.29787306,0.29787306,Barrowclift et al (2023),
Dasyatis americana,,rmax,0.335580843,0.335580843,0.291562382,Barrowclift et al (2023),
Dasyatis dipterura,,rmax,0.144352392,0.144352392,0.138737802,Barrowclift et al (2023),
Leucoraja erinacea,,rmax,0.322638161,0.322638161,0.5443052616666667,Barrowclift et al (2023),
Leucoraja naevus,,rmax,0.696850659,0.696850659,0.409007108,Barrowclift et al (2023),
Leucoraja ocellata,,rmax,0.418558409,0.418558409,0.342666955,Barrowclift et al (2023),
Himantura gerrardi,,rmax,0.437523399,0.437523399,0.437523399,Barrowclift et al (2023),
Himantura astra,,rmax,0.143622179,0.143622179,0.143622179,Barrowclift et al (2023),
Malacoraja senta,,rmax,0.368042286,0.368042286,0.368042286,Barrowclift et al (2023),
Manta alfredi,,rmax,0.021331948,0.021331948,0.021331948,Barrowclift et al (2023),
Manta birostris,,rmax,0.023204348,0.023204348,0.045283174,Barrowclift et al (2023),
Mobula mobular,,rmax,0.084389508,0.084389508,0.084389508,Barrowclift et al (2023),
Myliobatis californicus,,rmax,0.38187297,0.38187297,0.324800255,Barrowclift et al (2023),
Narcine brasiliensis,,rmax,0.304833271,0.304833271,0.304833271,Barrowclift et al (2023),
Narcine entemedor,,rmax,0.337860903,0.337860903,0.337860903,Barrowclift et al (2023),
Neotrygon annotata,,rmax,0.206820076,0.206820076,0.206820076,Barrowclift et al (2023),
Neotrygon picta,,rmax,0.257522863,0.257522863,0.257522863,Barrowclift et al (2023),
Neotrygon kuhlii,,rmax,0.153100715,0.153100715,0.153100715,Barrowclift et al (2023),
Okamejei kenojei,,rmax,1.036578082,1.036578082,1.036578082,Barrowclift et al (2023),
Platyrhina sinensis,,rmax,0.51887884,0.51887884,0.51887884,Barrowclift et al (2023),
Pristis clavata,,rmax,0.227292147,0.227292147,0.227292147,Barrowclift et al (2023),
Pristis pectinata,,rmax,0.186138543,0.186138543,0.1629502426875793,Barrowclift et al (2023),
Pristis pristis,,rmax,0.28281211,0.28281211,0.28281211,Barrowclift et al (2023),
Pristis zijsron,,rmax,0.223712853,0.223712853,0.223712853,Barrowclift et al (2023),
Rhinobatos horkelii,,rmax,0.26218008,0.26218008,0.279548255,Barrowclift et al (2023),
Rhinobatos percellens,,rmax,0.212612148,0.212612148,0.212612148,Barrowclift et al (2023),
Rhinobatos productus,,rmax,0.253102844,0.253102844,0.2633104356666667,Barrowclift et al (2023),
Pteroplatytrygon violacea,,rmax,0.50934726,0.50934726,0.49031027466666666,Barrowclift et al (2023),
Raja asterias,,rmax,0.97873531,0.97873531,0.9154777903333333,Barrowclift et al (2023),
Raja brachyura,,rmax,0.501542491,0.501542491,0.6020949066666667,Barrowclift et al (2023),
Raja clavata,,rmax,0.594302152,0.594302152,0.437661319,Barrowclift et al (2023),
Raja microocellata,,rmax,0.651850713,0.651850713,0.6502549153333333,Barrowclift et al (2023),
Raja miraletus,,rmax,1.27449978,1.27449978,1.3549260206666667,Barrowclift et al (2023),
Raja montagui,,rmax,0.604184514,0.604184514,0.6592095756666667,Barrowclift et al (2023),
Raja radula,,rmax,0.678227855,0.678227855,0.678227855,Barrowclift et al (2023),
Raja undulata,,rmax,0.368569332,0.368569332,0.368569332,Barrowclift et al (2023),
Rhinobatos rhinobatos,,rmax,0.524552616,0.524552616,0.44852630800000004,Barrowclift et al (2023),
Rhinoptera bonasus,,rmax,0.052656011,0.052656011,0.071190141,Barrowclift et al (2023),
Rhinoptera steindachneri,,rmax,0.112937278,0.112937278,0.112937278,Barrowclift et al (2023),
Rhynchobatus australiae,,rmax,0.498432479,0.498432479,0.363581139,Barrowclift et al (2023),
Rostroraja alba,,rmax,0.200638594,0.200638594,0.200638594,Barrowclift et al (2023),
Raja eglanteria,,rmax,0.61666784,0.61666784,0.61666784,Barrowclift et al (2023),
Torpedo californica,,rmax,0.286401436,0.286401436,0.2878290153333333,Barrowclift et al (2023),
Torpedo marmorata,,rmax,0.228964974,0.228964974,0.16139833466666667,Barrowclift et al (2023),
Trygonoptera imitata,,rmax,0.27465506,0.27465506,0.27465506,Barrowclift et al (2023),
Trygonoptera mucosa,,rmax,0.155280929,0.155280929,0.13588393850000002,Barrowclift et al (2023),
Trygonoptera personata,,rmax,0.180106136,0.180106136,0.159355677,Barrowclift et al (2023),
Urobatis concentricus,,rmax,0.33669418,0.33669418,0.33669418,Barrowclift et al (2023),
Urobatis halleri,,rmax,0.56745145,0.56745145,0.56745145,Barrowclift et al (2023),
Urobatis jamaicensis,,rmax,0.369357484,0.369357484,0.369357484,Barrowclift et al (2023),
Urolophus cruciatus,,rmax,0.086241762,0.086241762,0.086241762,Barrowclift et al (2023),
Urolophus expansus,,rmax,0.090511135,0.090511135,0.090511135,Barrowclift et al (2023),
Urolophus lobatus,,rmax,0.20946532,0.20946532,0.197573724,Barrowclift et al (2023),
Urolophus paucimaculatus,,rmax,0.195199012,0.195199012,0.213469867,Barrowclift et al (2023),
Urotrygon aspidura,,rmax,0.551035051,0.551035051,0.551035051,Barrowclift et al (2023),
Urotrygon rogersi,,rmax,1.166078111,1.166078111,1.166078111,Barrowclift et al (2023),
Zapteryx brevirostris,,rmax,0.168110613,0.168110613,0.130305307,Barrowclift et al (2023),
Zapteryx exasperata,,rmax,0.250425868,0.250425868,0.220212934,Barrowclift et al (2023),
Atlantoraja castelnaui,,lambda,1.146,0.13627761829254775,0.13627761829254775,Cortes et al (2023),
Rioraja agassizi,,lambda,1.196,0.17898265552843995,0.17898265552843995,Cortes et al (2023),
Sympterygia bonapartii,,lambda,1.081,0.077886539,0.077886539,Cortes et al (2023),
Zearaja brevicaudata,,lambda,1.036,0.035367143837291344,0.035367143837291344,Cortes et al (2023),
