scientific_name,threats,systems,redlist_category,common_name,family,order,ventilation_method,max_size_cm,measure,median_depth,reproductive_mode,habitat_associated,notes,demers_pelag,length,l_type_max_m,median_depth_2,measure_fb
Pateobatis fai,"The inshore fishing pressure for the Pink Whipray is high throughout much of its range in Southeast Asia. In this area, most bycatch by commercial fisheries (especially trawlers) are landed and sold as food fish.&#160;In Indonesia,&#160;and probably throughout other areas of its range, this species is captured by demersal tangle net, bottom trawl, commercial gillnet and, to a lesser extent, longline fisheries&#160;(White <em>et al.</em> 2006).<br/><br/>The Pink Whipray and other stingrays are an important retained bycatch of the commercial gillnet fishery in Indonesia that targets rhynchobatid rays in the Arafura Sea (Last and Compagno 1999; W. White, pers. obs. 2007). Catches in inshore waters have declined and these vessels are having to travel farther to sustain catches; the rhynchobatid fisheries are very intensive in this region, thus the level of exploitation is extremely high.<br/><br/>Within Borneo, the species is an occasional capture in the demersal tangle net and bottom trawl fisheries (Last <em>et al. </em>2010), and it has been observed from fish market surveys within Thailand (Krajangdara 2014). Given that this species occurs in shallow, nearshore environments, ongoing and widespread degradation of coral reefs and coastal areas throughout south-east Asia are likely contributing to declines in the region.<br/><br/>In Sabah (Malaysia), Papua New Guinea, and Indonesia, <em>Himantura</em> species are often caught and landed in the inshore fisheries (trawls and longlines) and are also taken by Danish seine fishing gear (M. Manjaji-Matsumoto and Fahmi, pers. obs. 2007; W. White, pers. obs. 2014).<br/><br/>Within the prawn trawl fleet that operates in the Gulf of Papua in Southern Papua New Guinea, the Pink Whipray<em>&#160;</em>is captured in low numbers, as bycatch reduction gear are not currently in place for the fishery (L. Baje, pers. comm. 2015).<br/><br/>In Australia, catch data for this species is relatively limited, though large specimens were previously reported as bycatch in the Australian Northern Prawn Fishery. However, with the introduction of turtle exclusion devices (TEDs) and other bycatch reduction devices in the fishery, the ray bycatch has declined by 36.6% and there has been significant reductions in the catch and associated mortality of the Pink Whipray&#160;(Brewer&#160;<em>et al.&#160;</em>2006).<br/><br/>This species may be more vulnerable to depletion given its large size at maturity and maximum size compared to other&#160;<em>Himantura&#160;</em>species (Manjaji-Matsumoto and Fahmi, pers. obs. 2007).",Marine,Vulnerable,,Dasyatidae,Myliobatiformes,,,,,,,,reef-associated,183,TL,100,total_length
Urogymnus dalyensis,"<p>There is little concrete information available on threats facing the Freshwater Whipray. Freshwater elasmobranchs are generally of conservation concern given the coupling of the usual biological limitations of the group with the physical constraints of their environment which limits their ability to evade both habitat alteration/degradation and exploitation (Compagno and Cook 1995). Broader-scale catchment practices may also affect the species’ habitat through such activities as overgrazing, land clearing, and mining. The restricted geographic range of the species, the fact that it is not particularly common, and the presumed limited interchange between rivers increases the species’ inherent sensitivity.</p>    <p>Impoundments and artificial barriers on rivers may have caused reductions in habitat available for the species, thus possibly altering its range. Although poorly known, migrations and movement patterns have certainly been affected by these barriers, which can limit or completely restrict movements. Thorburn <em>et al.</em> (2004) noted a concentration of the Largetooth Sawfish (<em>Pristis pristis</em>) and the Bull Shark (<em>Carcharhinus leucas</em>) below Camballin Weir on the Fitzroy River, which acted as an obstacle to upstream movement during the lower water levels of the dry season. Similarly, the Freshwater Whipray is easily observed immediately downstream of Beeboom Crossing on the Daly River, which is impassable to upstream moving elasmobranchs for much of the year (P.M. Kyne, pers. obs.). Impoundments and artificial barriers on rivers may become more common in the future as pressure mounts to develop northern Australia.</p>    <p>During the dry season, when water levels are at their seasonal low, some freshwater elasmobranchs become isolated in disconnected pools, and this may make them more susceptible to capture as they are concentrated in or restricted to smaller areas. Any human-induced reduction in dry season water levels (for example, through water extraction for agriculture or other purposes) may increase this susceptibility to capture as well as reduce available habitat. </p>    <p>It is not known how fishing activities, both recreational and commercial, have affected this species both historically and presently. Parts of its range are extremely popular recreational fishing locations, such as the Daly and Fitzroy Rivers, and elasmobranchs are a bycatch of recreational fishing for Barramundi (<em>Lates calcarifer</em>) (Thorburn <em>et al.</em> 2003). In some areas of these rivers (for example the Douglas-Daly Region of the Daly River which is close to Darwin and easily accessible) recreational fishing activity is considerable. Given the general difficulty and danger of handling stingrays, some fishers who do unintentionally hook this species may cut their line to release the animal. Post-release stress and injuries caused by the remaining line and hook may result in subsequent mortality, although this has not been determined. Thorburn <em>et al.</em> (2003) observed discarded Freshwater Whipray at a site on the Fitzroy River, a result of unwanted catch from recreational fishing (the Largetooth Sawfish and the Bull Shark were also found at the site). Discarded elasmobranchs have been observed at other popular fishing spots on other rivers (P.M. Kyne, pers. obs.), and this highlights that mortality (without utilization) does occur from recreational fishing.</p>    <p>Given the morphology of the species, it is not as susceptible to capture in gillnets (which are used across northern Australia to target commercial species such as Barramundi) as other elasmobranchs such as sawfishes or sharks; it is however susceptible to capture by longline and handline (Thorburn <em>et al.</em> 2003, 2004). The extent of interactions with commercial fisheries targeting<span style=""font-style: italic;""> </span>Barramundi is largely unknown. Given that this whipray has not been recorded in euhaline marine waters, there are likely no interactions where these fisheries operate in coastal marine waters. These fisheries do operate in some rivers and river mouths, for example the Northern Territory Barramundi Fishery can operate within a restricted number of rivers. However, as these fisheries use monofilament gillnets, interactions with this species are likely to be minimal. Field <em>et al.</em> (2008) did not record the species in the Northern Territory Barramundi Fishery, but gear considerations aside, they largely sampled outside known rivers of Freshwater Whipray occurrence.</p>    <p>Chin <em>et al.</em> (2010) classified the Freshwater Whipray as one of the most susceptible chondrichthyans to the effects of climate change in the Great Barrier Reef and adjacent regions of the Queensland east coast, where it occurs in the Normanby River. This assessment was a result of a high exposure to climate change factors (rising sea levels, rising temperature, changing freshwater input, etc.) within its riverine/estuarine habitat; and the species’ high sensitivity and low adaptive capacity given its relative rarity, habitat specificity, and restricted range (Chin <em>et al.</em> 2010).</p>",Freshwater (=Inland waters)|Marine,Least Concern,,Dasyatidae,Myliobatiformes,,,,,,,,benthopelagic,124,WD,2.5,disk_width
Urogymnus polylepis,"<span style="""">  </span><p></p><p></p><p></p><p></p><p></p><p>  </p>The species is targeted and caught as bycatch in subsistence, small-scale, recreational and industrial fisheries and is retained for consumption and for display in public aquaria. The species is subject to intensive fisheries and habitat degradation in most of its range, as it occurs in areas where human population has expanded dramatically in recent decades. It occurs in rivers that have been dammed, which may prevent migration and isolate parts of the reproductive populations, potentially reducing the genetic diversity of the species (Compagno and Cook 2005).<br/><br/>In the Sundarbans region of India and Bangladesh, this species is caught by trawl fishers operating in river environments (e.g., Sen <em>et al</em>. 2020). In Bangladesh, it is also caught as bycatch in set-bag nets and demersal gillnets, and is targeted with longlines (A.B. Haque unpubl. data 2021). All benthic rays in Bangladesh are targeted with non-baited demersal longlines (1–10 km) with 10,000–30,000 hooks that operate in 5–40 m depth (A.B. Haque unpubl. data 2021). Bangladesh has a substantial artisanal fishing fleet that operates throughout the coastal regions. In 2017–2018 there were 67,669 vessels reported to be operating (DoF 2018). Severe habitat degradation is ongoing throughout the Sundarbans and associated rivers. This is driven by high human population density resulting in pollution (general, agricultural, chemical, sewage, and industrial), over-harvesting of fisheries resources, vegetation removal, and upstream river engineering (e.g., Barman 2007, Sen and Mandal 2019, Sievers et al. 2020), while climate change presents a mounting issue with respect to delta habitat loss (Majumder and Barman 2013).<br/><br/>In Thailand, this species is caught by fishers in the Chao Phraya and Mea Khlong River Basins. Fisheries include small-scale, industrial, harvest for aquaria, and recreational sport fishing. This species is not known to survive well in aquaria, resulting in continual frequent harvest to maintain display animals (Compagno and Cook 2005). Sportfishing may be a serious threat as anglers have the equipment necessary to catch very large individuals and sport anglers do not always release their catch. Some catch and release anglers use very invasive techniques such as gaffing and hanging for display. Environmental degradation from pollution, damming, land clearing and altered sediment flow regimes are also likely adversely affecting populations of this species throughout Thailand (Compagno and Cook 2005, Grill <em>et al</em>. 2019).<br/><br/>In the Mekong River, this species is caught by local fishers (Vidthayanon <em>et al</em>. 2016). The Lower Mekong River supports the largest inland fishery globally and over 100 gear types are used which are categorised into hand capture, wounding gear, traps, gillnet, covering gear, luring devices, illegal methods (electro-fishing etc.), and anaesthetic methods (plant poisons) (Ainsworth et al. 2021). The Mekong River has been subject to significant damming (Grill <em>et al</em>. 2019) leading to severe habitat degradation around the Mekong Delta, as sediment flow has been significantly reduced. These effects in the Lower Basin are expected to be exacerbated by climate change and raising sea levels (Barlow <em>et al</em>. 2008, Ainsworth <em>et al</em>. 2021). Dams may now prevent migration of this species into many of the Mekong tributaries or upstream into northern Laos.<br/><br/>This species has only recently been widely recorded throughout Borneo, including Brunei Darussalam, suggesting that catch rates by local fishing gear is, or at least has historically been, infrequent (Last <em>et al</em>. 2010, Iqbal and Yustian 2016, Windusari <em>et al</em>. 2019, Iqbal <em>et al</em>. 2020). In Sabah, fishers catch this species along with other rays on rod and reel or longline, and retain it for consumption or sale (Manjaji-Matsumoto 2002, Manjaji-Matsumoto <em>et al</em>. 2016). Hydroelectric and reservoir dams, habitat degradation through land clearing, and pollution throughout Malaysian Borneo have been noted as a significant threat to this species (Chong <em>et al</em>. 2010).<br/><br/>Across the Kalimantan range of the species, a wide range of fishing gear is used that includes nets, gillnets, trawl, fish traps, hook and line (including longline), and gillnets, while poisons and electro-fishing techniques are used despite being prohibited (Christensen 1993, Thornton 2017, Purwanto 2018, Amrullah <em>et al</em>. 2019, Muthmainnah and Rais 2020, Ainsworth <em>et al</em>. 2021). Across the West Kalimantan range of the species, habitat degradation from land clearing, agriculture, and mining pollution is present in the Kapuas River leading to increased sediment and heavy metals (Lusiana <em>et al</em>. 2008). In Central Kalimantan, very little is known of the local range of the Giant Freshwater Whipray within the Barito and Kahayan River Basins. Habitat threats include aquaculture, logging, dams and forest burning, which collectively increase sediment and nutrient loading in the river (Thornton 2017). In Mahakam River, East Kalimantan, numerous threats including logging, mining, agriculture (burning, land clearing, agrochemicals), forest fires, and pollution associated with villages and towns have resulted in habitat modification and degradation (Yule <em>et al</em>. 2010, de Jong <em>et al</em>. 2015, Ainsworth <em>et al</em>. 2021). High fishing intensity in North Kalimantan is driven by targeting of Mahseer fish (<em>Tor </em>spp.) and concern exists for poaching of fisheries resources, including in rivers in neighbouring Sarawak Sabah (Amrullah <em>et al</em>. 2019). Deforestation is also an ongoing issue in North Kalimantan, leading to degradation of river environments (Amrullah <em>et al</em>. 2019, Anau <em>et al</em>. 2019).<br/><br/>In Java, the Citarum River has been heavily impacted by urban and industrial development, including a reservoir dam in the middle-lower part of the river (Vidthayanon <em>et al</em>. 2016, Grill <em>et al</em>. 2019). In Sumatra, Indonesia, recreational and small-scale fishers catch Giant Freshwater Whiprays, using hook and line, gillnets, casts nets, and various traps (Iqbal <em>et al</em>. 2018a, Iqbal <em>et al</em>. 2018b, V. Hasan unpubl. data 2021). Environmental threats are poorly defined, though damming, agriculture, mining, land clearing, and increased sedimentation are likely present throughout most river basins (e.g., Linkie <em>et al</em>. 2004, Laumonier <em>et al</em>. 2010, Grill <em>et al</em>. 2019). In the Musi River Basin, oil palm, rubber plantations, and densely populated regions where pressures exist from fisheries, habitat modification, and industrial pollution are a threat to this species (Iqbal <em>et al</em>. 2018a).<br/><span style=""""></span>",Freshwater (=Inland waters)|Marine,Endangered,,Dasyatidae,Myliobatiformes,,,,,,,,demersal,240,WD,,disk_width
Pastinachus gracilicaudus,"<p>Throughout its distribution, the Narrow Cowtail Ray is caught in coastal fisheries by demersal trawl, tangle nets, set nets, gill nets, droplines, longlines, and Danish seine (White&#160;<em>et al.</em>&#160;2006, Blaber&#160;<em>et al.</em>&#160;2009). It is taken as retained bycatch in industrial and artisanal fisheries.&#160;In Indonesia, these small-scale fisheries comprise most (~90%) of fisheries production (Tull 2014). In some regions, effort by these small-scale fisheries has tripled when taking population growth into account (Ramenzoni 2017). Sharks and rays are an important resource in Indonesia and are the main livelihood for some communities (Sadili&#160;<em>et al.</em>&#160;2015). Indonesia catches the highest number of chondrichthyans in the world with the catch of rays rising as shark fisheries collapse. In 2003, rays comprise over 50% of chondrichthyan landings, up from 32% in 1981 (White&#160;<em>et al. </em>2006). Stingrays contribute the most (more than 95%) to elasmobranch catch by Danish seines (cantrang) operating in the Java Sea (Fahmi&#160;<em>et al.&#160;</em>2008).&#160;Trawling is particularly intensive in the Arafura Sea region (W. White pers. comm. 28/02/2010). In 2009, it was reported that 680 trawlers operated in the Arafura Sea and that catches in inshore waters had declined with vessels travelling further south to maintain catches (Blaber&#160;<em>et al.</em> 2009). Although the numbers of trawlers currently operating is unclear, this intensive fishing pressure still continues; high levels of Indonesian trawl fishing in the Arafura Sea adjacent to the Australian Fishing Zone has been reported (Heazle and Butcher 2007, Northern Territory Government 2009), in addition to intensive longline and gillnetting throughout the Malacca Strait, with some mini-trawl operations and Danish seines operating throughout Kalimantan and the Java Sea (Fahmi unpubl. data 2020).&#160;Thus, the actual level of exploitation of this species could be extremely high throughout the Indonesian portion of its range.</p><p></p><p>In Malaysia, fisheries significantly contribute to the national economy through employment opportunities, and protein supply (A. Bin Ali unpubl. data 2020). Fishing effort in Malaysia has been increasing since 1950 across subsistence, artisanal, and industrial fisheries (Pauly <em>et al.</em> 2020). The number of vessels across all sectors has more than doubled from 22,800 vessels in 1950 to 50,150 vessels in 2014 (Zeller and Pauly 2016). However, the substantial increase over this period has been in engine power which has dramatically increased by ~30 fold (Pauly&#160;<em>et al.&#160;</em>2020). Consequently, fisheries were fully exploited by the late 1970s (Teh and Teh 2014).&#160;Nevertheless, fish consumption continues to rise and most (~85%) comes from the Malaysian Exclusive Economic Zone (EEZ) (Fowler&#160;<em>et al.</em>&#160;2002, A. Bin Ali unpubl. data 2020). Small-scale inshore fisheries provide the main supply for local consumption. Fisheries operating within 30 nautical mile (nm) from the coast contribute 85% to the total marine fish landings with vessels &lt;70 Gross Tonnage (GT). In waters beyond 30 nm from the coast, trawls and purse seines are the main fishing gears, deployed from large vessels &gt;70 GT. These fisheries have contributed significantly to habitat destruction and reduced abundances of all commercially important fishes in the area (Teh&#160;<em>et al.</em>&#160;2009).</p><p>In Thailand, this species is caught primarily in two gears: otter board-trawl (70% of catch) and paired trawl (16–25% of catch) (Krajangdara 2019). The gulf coast is considered one of the most overfished regions of the world due to the rapid industrialization of their fishing fleet (Sylwester 2014). The number of Thai trawlers peaked in 1989 at ~13,100 boats (Poonnachit-Korsieporn 2000), which was reflected in the catch-per-unit-effort (CPUE) which declined from &gt;300 kg per hour in 1963 to 20–30 kg per hour in the 1990s (Poonnachit-Korsieporn 2000). Fisheries in Thailand have been moving to deeper water for decades due to the overexploitation of the coastal region (Sylwester 2014).</p><p>Bangladesh has a substantial artisanal fishing fleet that operates throughout the coastal regions. In 2017–2018 there were 67,669 vessels reported to be operating (DoF 2018). All benthic rays in Bangladesh are targeted with non-baited demersal longlines (1–10 km) with 10,000–30,000 hooks that operate in 5–40 m depth (A.B. Haque unpubl. data 2020). Anecdotal reports indicate a steep decline in rays over the past 10 years&#160;(Ullah <em>et al.</em> 2014, A.B. Haque unpubl. data 2020). This decline is concurrent with steep increases in artisanal and subsistence fisheries effort (Pauly<em> et al.</em> 2020). The artisanal fishing vessels land &gt;90% of the total marine catch and generally operate inshore at depths of 0–40 m but can operate to 80 m (Hoq <em>et al.</em> 2014, A.B. Haque unpubl. data 2020).&#160;The marine capture fisheries of Bangladesh exploit a complex, multi-species resource, and can be subdivided into subsistence (small-scale, non-commercial), artisanal (small-scale, commercial), and industrial (large-scale, commercial) fisheries sectors. Among the commercial catch, more than 90% is landed by artisanal fishing vessels, while industrial fisheries contribute around 6% to the total landed catch (Ahmad 2004). Each trawling vessel is equipped with trawl gear as well as demersal set longline gear to target shark and rays. There has been an increase in fishing vessels over the past 10 years. Many trawlers in the southwest regions of the country will go out to sea for 5–10 days and sometimes more than 15 days and return with greater landings of larger ray species (A.B. Haque unpubl. data 2020). It is believed that there may be a number of nursery areas around coastal Bangladesh. Sharks and rays landed in the pre-monsoon season are often pregnant and near term. This period overlaps with significant fishing pressure (A.B. Haque unpubl. data 2020).</p><p><span class=""tlid-translation"">In India, juvenile rays are found in estuaries and high fishing effort, particularly with stake and doll nets, occurs in this habitat.&#160;The entire geographic distribution of this species in the Indian EEZ overlaps with intense coastal fisheries. There are approximately 9,981 boats operating in the small portion of the Indian coast this species occurs (K.K. Bineesh unpubl. data 2020). There is high demand for the meat of this species in India (K.K. Bineesh unpubl. data 2020).&#160;</p><p>This species’ preference for inshore coastal waters means it is also threatened by extensive habitat degradation, including pollution and clearing, and destructive fishing practices. Large coastal areas, in particular mangroves, have been lost in Indonesia and Malaysia through land conversion for urban development, shrimp farms, and agriculture. Across Indonesia and Malaysia from 1980 to 2005, the area of mangroves was reduced by &gt;30% (FAO 2007, Polidoro&#160;<em>et al.&#160;</em>2010). In India, where this species is found, there is ongoing mangrove destruction and coastal pollution (K.K. Bineesh unpubl. data 2020).&#160;</p>",Marine,Endangered,,Dasyatidae,Myliobatiformes,,,,,,,,benthopelagic,74.69999694824219,WD,,disk_width
Carcharhinus leiodon,"The Smoothtooth Blacktip Shark is likely to be taken by inshore gillnet, line and trawl fisheries within its range given it is known only from specimens from fish markets (Moore <em>et al.</em> 2013, Jabado <em>et al. </em>2015). One of the known centres of abundance around Kuwait is also subject to habitat degradation and change from water management practices in the Tigris and Euphrates rivers (Moore <em>et al.</em> 2013).&#160;Marine habitats in the Gulf are experiencing high levels of disturbance and quickly deteriorating due to major impacts from development activities (including dredging and reclamation), desalination plants, industrial activities, habitat destruction through the removal of shallow productive areas and major shipping lanes (Sheppard <em>et al.</em> 2010) which is likely to impact this species.",Marine,Endangered,,Carcharhinidae,Carcharhiniformes,,,,,,,,demersal,165,TL,35,total_length
Halaelurus boesemani,"<span lang=""EN-US"">While no specific information is available on catches of the Speckled Catshark, the high level of exploitation across its small range is of concern. Somali waters have been subjected to intense unregulated commercial benthic trawling for at least four decades, with a long history of foreign trawl fisheries operating across the entire range of the Speckled Catshark (Glaser <em>et al.</em> 2015). While the new Somali Fisheries Law now bans benthic trawling, decades of unregulated trawling may have already caused population-level impacts on this species, and implementation of regulations and enforcement remain a challenge (Glaser<em> et al.</em> 2015). Given the small size of the species, it is unlikely to be taken in longline fisheries, but may interact with small-meshed gillnet fisheries which are used by artisanal fisheries in the region and demersal trawls from illegal fishing by foreign vessels.",Marine,Vulnerable,,Pentanchidae,Carcharhiniformes,,,,,,,,demersal,48,TL,143.5,total_length
Heteronarce mollis,"This species is taken as incidental bycatch in trawl and longline fisheries in areas that have been historically, and are currently, heavily fished, but no specific information is available. It is likely to be caught in intense trawling on the Yemeni shelf, and in deepwater fisheries off southern India. It is probably discarded at sea as electric rays are generally undesirable. Survivorship of discards is likely to be low.",Marine,Data Deficient,,Narkidae,Torpediniformes,,,,,,,,demersal,22.5,SL,209.5,
Narcine oculifera,"<p>Fishing activity within the region of occurrence of the Bigeye Numbfish is generally intense and this may have historically, or may be currently impacting this species through fishery-induced mortality. This species was known to be a rare bycatch on the Arabian Sea trawl grounds off Oman, but exact levels of bycatch in any fishery are unknown. Trawling was however banned from Oman’s Exclusive Economic Zone in June 2011, so currently there is no threat from that fishing method in Omani waters. Trawling may be a threat to the species elsewhere in the region (for example, Iran) if the species has a wider distribution than is presently known. </p>    <p>Oman has a long established artisanal shark fishery using bottom-set longlines, bottom-set gillnets and driftnets, which includes landings of batoids (Henderson <em>et al.</em> 2007). Market surveys did not report any electric rays (Henderson <em>et al.</em> 2007) which suggests that they are rarely, at if all, taken in this fishery as the majority of catch is landed, or is discarded at sea.</p>    <p>There is no information on interactions with fisheries in the Gulf of Aden where Bonfil and Abdallah (2004) noted that there were at least 27,900 artisanal fishermen and 6,400 vessels. There has been a considerable increase in fisheries production in that area (Bonfil and Abdallah 2004), but there are no details of interactions with the Bigeye Numbfish.</p><p>Foreign trawlers (Egyptian) currently operate in Somali Gulf of Aden waters, where pressure is high and electric rays are a potential bycatch (M. Ali pers. comm. 06/02/2017).</p>",Marine,Data Deficient,,Narcinidae,Torpediniformes,,,,,,,,benthopelagic,35,SL,,
Brevitrygon imbricata,"Throughout its distribution, the Bengal Whipray is caught in coastal fisheries by demersal trawl, tangle nets, set nets, gill nets, droplines, longlines, and Danish seine.&#160;In Malaysia, fisheries significantly contribute to the national economy through employment opportunities, and protein supply (A. Bin Ali unpubl. data 2020). Fishing effort in Malaysia has been increasing since 1950 across subsistence, artisanal, and industrial fisheries (Pauly <em>et al.</em> 2020). The number of vessels across all sectors has more than doubled from 22,800 vessels in 1950 to 50,150 vessels in 2014 (Zeller and Pauly 2016). However, the substantial increase over this period has been in engine power which has dramatically increased by ~30 fold (Pauly&#160;<em>et al.</em>&#160;2020). Consequently, fisheries were fully exploited by the late 1970s (Teh and Teh 2014).&#160;Nevertheless, fish consumption continues to rise and most (~85%) comes from the Malaysian Exclusive Economic Zone (Fowler&#160;<em>et al.&#160;</em>2002, A. Bin Ali unpubl. data 2020). Small-scale inshore fisheries provide the main supply for local consumption. Fisheries operating within 30 nautical miles (nm) from the coast contribute 85% to the total marine fish landings with vessels &lt;70 Gross Tonnage (GT). In waters beyond 30 nm from the coast, trawls, and purse seines are the main fishing gears, deployed from large vessels &gt;70 GT. These fisheries have contributed significantly to habitat destruction and reduced abundances of all commercially important fishes in the area (Teh&#160;<em>et al.</em>&#160;2009).<p>In Thailand, this species is caught primarily in two gears: otter board-trawl (70% of catch) and paired trawl (16–25% of catch) (Krajangdara 2019). The gulf coast is considered one of the most overfished regions of the world due to the rapid industrialization of their fishing fleet (Sylwester 2014). The number of Thai trawlers peaked in 1989 at ~13,100 boats (Poonnachit-Korsieporn 2000), which was reflected in the catch-per-unit-effort (CPUE) which declined from &gt;300 kg per hour in 1963 to 20–30 kg per hour in the 1990s (Poonnachit-Korsieporn 2000). Fisheries in Thailand have been moving to deeper water for decades due to the overexploitation of the coastal region (Sylwester 2014).</p><p>Sharks and rays are captured by a wide range of gears in Myanmar. This species is among one of the most frequently landed rays in Myanmar (A. Maung unpubl. data 2020). In coastal waters prior to a nation a wide ban on targeting sharks in 2004, large sharks were targeted by pelagic longlines up to 3 km in length. Since 2004, sharks are largely taken as incidental catch in coastal gillnets, trawls (for fish or shrimp), longlines targeting mackerels, and hookah divers spearing at night (mostly catching rays and carpet sharks) (Howard<em>&#160;et al.</em>&#160;2015, Mizrahi<em>&#160;et al.</em>&#160;2020). These inshore fisheries are relatively small-scale and include many subsistence level fishers. At times since 1950, significant numbers of foreign vessels have operated in Myanmar waters targeting fish and shrimp. These vessels have operated in both inshore and offshore areas. Offshore fishing that incidentally catches sharks and rays is carried out by a large commercial fleet of mostly trawlers, purse seiners, and longliners.&#160;International Labour Organisation (2015) estimated the number of vessels participating in the small-scale inshore fishery to be about 26,000 in 2013, with about 50% of them unpowered. The number of locally operated larger offshore vessels numbered 2,846 in 2013, having increased nearly 30% since 2009. Foreign fishing vessels numbered 153 in 2013, but had historically been much higher. Foreign vessels were banned in 2014.</p><p>Bangladesh has a substantial artisanal fishing fleet that operates throughout the coastal regions. In 2017–2018 there were 67,669 vessels reported to be operating (DoF 2018). All benthic rays in Bangladesh are targeted with non-baited demersal longlines (1–10 km) with 10,000–30,000 hooks that operate in 5–40 m depth&#160;(A.B. Haque unpubl. data 2020). Anecdotal reports indicate a steep decline in rays over the past 10 years (Ullah <em>et al.</em> 2014, A.B. Haque unpubl. data 2020). This decline is concurrent with steep increases in artisanal and subsistence fisheries effort (Pauly<em> et al.</em> 2020). The artisanal fishing vessels land &gt;90% of the total marine catch and generally operate inshore at depths of 0–40 m but can operate to 80 m (Hoq <em>et al.</em> 2014, A.B. Haque unpubl. data 2020).&#160;The marine capture fisheries of Bangladesh exploit a complex, multi-species resource, and can be subdivided into subsistence (small-scale, non-commercial), artisanal (small-scale, commercial) and industrial (large-scale, commercial) fisheries sectors. Among the commercial catch, more than 90% is landed by artisanal fishing vessels, while industrial fisheries contribute around 6% to the total landed catch (Ahmad 2004). Each trawling vessel is equipped with trawl gear as well as demersal set longline gear to target shark and rays. There has been an increase in fishing vessels over the past 10 years. Many fishing vessels in the southwest regions of the country will go out to sea for 5–10 days and sometimes more than 15 days and return with greater landings of larger ray species (A.B. Haque unpubl. data 2020). It is believed that there may be a number of nursery areas around coastal Bangladesh. Sharks and rays landed in the pre-monsoon season are often pregnant and near term. This period overlaps with significant fishing pressure (A.B. Haque unpubl. data 2020).&#160;</p><p><span class=""tlid-translation"">In India, juvenile rays are found in estuaries and high fishing effort, particularly with stake and doll nets, occurs in this habitat.&#160;The majority of the geographic distribution of this species in the region overlaps with intense coastal fisheries. There are approximately 24,554 trawl vessels operating in the Indian part of the range (CMFRI 2010). The shallow depth distribution means this species is unlikely to have a depth refuge. There has been a significant increase in coastal fishing effort and power over the past 30 years.<span class=""tlid-translation""> A ray fishery has recently begun (2 years) in the Andaman and Nicobar islands and uses demersal set gillnets to catch up to 6 t of rays per trip (3-5 days). There are currently 20–40 boats operating in this fishery (K.K. Bineesh unpubl. data 2020).&#160;</span></p><p>This species’ preference for inshore coastal waters means it is also threatened by extensive habitat degradation, including pollution and clearing, and destructive fishing practices. Large coastal areas, in particular mangroves, have been lost in Malaysia through land conversion for urban development, shrimp farms and agriculture. Across Indonesia and Malaysia from 1980 to 2005, the area of mangroves was reduced by &gt;30% (FAO 2007, Polidoro&#160;<em>et al.&#160;</em>2010).<br/></p>",Marine,Vulnerable,,Dasyatidae,Myliobatiformes,,,,,,,,demersal,25.5,WD,,disk_width
Pastinachus sephen,"Cowtail Rays are regularly captured in trawl, gillnet and longline fisheries across the range of this species. In places, fishing pressure is intense and increasing. For example, in the Indian state of Gujarat, the number of trawlers increased from ~6,600 in 2004 to over 11,500 trawlers in 2010 (Zynudheen et al. 2004, CMFRI 2010). Similarly, gillnet fishing (including net length) is increasing in India (Bineesh K.K., unpub. data). Indian west coast annual landings of Cowtail Rays have fluctuated between ~14 and 40 tonnes in recent years (Bineesh K.K. pers. comm. 06/02/2017). In Pakistan waters, about 2,000 trawlers operate in shelf waters, targeting shrimp in shallow waters and fish in deeper shelf waters (M. Khan pers. comm. 06/02/2017). In Iran, there is increasing fishing effort with the number of fishermen going from 70,729 in 1993 to 109,601 in 2002 (Valinassab <em>et al</em>. 2006). In the Saudi Red Sea, the number of traditional vessels operating increased from about 3,100 to 10,000 between 1988 and 2006 (Bruckner <em>et al</em>. 2011).<br/><br/>Cowtail Rays are generally discarded in the Red Sea and the Gulf (due to undesirable meat), in contrast to the normal retention in India. Fishers will often remove the tail before release. Rays without tails seem to survive as these have been recorded on BRUVs in the region (J. Spaet unpub. data). Survivorship from released line catches would be higher than trawl where the species may suffer mortality even if released.<br/><br/>Marine habitats in the Gulf are experiencing high levels of disturbance and quickly deteriorating due to major impacts from development activities (including dredging and reclamation), desalination plants, industrial activities, habitat destruction through the removal of shallow productive areas and major shipping lanes (Sheppard <em>et al</em>. 2010) which is likely to impact this species.",Marine,Near Threatened,Cowtail stingray,Dasyatidae,Myliobatiformes,stationary,149,total_length,30,histotrophy,reef-associated,,reef-associated,183,WD,30,disk_width
